Gears Three Point
t_k, y_k, y_real
4.29,2.97256,2.97256
4.3,2.97284,2.97284
4.31,2.97311,2.97311
4.32,2.97337,2.97337
4.33,2.97364,2.97364
4.34,2.9739,2.9739
4.35,2.97416,2.97416
4.36,2.97442,2.97442
4.37,2.97467,2.97467
4.38,2.97492,2.97492
4.39,2.97517,2.97517
4.4,2.97542,2.97542
4.41,2.97567,2.97567
4.42,2.97591,2.97591
4.43,2.97615,2.97615
4.44,2.97638,2.97638
4.45,2.97662,2.97662
4.46,2.97685,2.97685
4.47,2.97708,2.97708
4.48,2.97731,2.97731
4.49,2.97754,2.97754
4.5,2.97776,2.97776
4.51,2.97798,2.97798
4.52,2.9782,2.9782
4.53,2.97842,2.97842
4.54,2.97863,2.97863
4.55,2.97884,2.97884
4.56,2.97905,2.97905
4.57,2.97926,2.97926
4.58,2.97947,2.97947
4.59,2.97967,2.97967
4.6,2.97988,2.97988
4.61,2.98008,2.98008
4.62,2.98027,2.98027
4.63,2.98047,2.98047
4.64,2.98067,2.98067
4.65,2.98086,2.98086
4.66,2.98105,2.98105
4.67,2.98124,2.98124
4.68,2.98142,2.98142
4.69,2.98161,2.98161
4.7,2.98179,2.98179
4.71,2.98197,2.98197
4.72,2.98215,2.98215
4.73,2.98233,2.98233
4.74,2.98251,2.98251
4.75,2.98268,2.98268
4.76,2.98285,2.98285
4.77,2.98302,2.98302
4.78,2.98319,2.98319
4.79,2.98336,2.98336
4.8,2.98352,2.98352
4.81,2.98369,2.98369
4.82,2.98385,2.98385
4.83,2.98401,2.98401
4.84,2.98417,2.98417
4.85,2.98433,2.98433
4.86,2.98448,2.98448
4.87,2.98464,2.98464
4.88,2.98479,2.98479
4.89,2.98494,2.98494
4.9,2.98509,2.98509
4.91,2.98524,2.98524
4.92,2.98539,2.98539
4.93,2.98553,2.98553
4.94,2.98568,2.98568
4.95,2.98582,2.98582
4.96,2.98596,2.98596
4.97,2.9861,2.9861
4.98,2.98624,2.98624
4.99,2.98638,2.98638
5,2.98651,2.98651
5.01,2.98664,2.98664

